name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
Комбинезон OLDOS OAW203T1OV23 синий 86,1,Бубльгум,38 880 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/kombinezon-oldos-oaw203t1ov23-sinii-107655476/?c=750000000,"[] синий:True,  розовый:True, ","[]86:True, 68:True, 74:True, 80:True, 86:True, "
Футболка BABYGLORY KT002 серый 80,1,Бубльгум,3 570 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/babyglory-kt002-seryi-109091963/?c=750000000,"[] серый:True, ","[]80:True, 86:True, "
Комбинезон Batik 370-21в Children 140,1,Бубльгум,17 860 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-370-21v-children-104432096/?c=750000000,"[] черный:True, ","[]128:True, 134:True, 140:True, "
Шорты Ябольшой 274-1299-01 Children 104,2,Alifamily(8 отзывов),3 100 ₸,3 680 ₸,---,---,---,"Kaspi Доставка, межгород, 6 марта",https://kaspi.kz/shop/p/jabol-shoi-274-1299-01-children-104431585/?c=750000000,"[] бирюзовый:True, ","[]104:True, 110:True, 116:True, 122:True, "
Костюм Batik 1027 к-18 Дед Мороз Морозко красный 182-54-56,1,Бубльгум,34 560 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-1027-k-18-ded-moroz-morozko-krasnyi-182-54-56-108246704/?c=750000000,[],[]
Куртка Batik 425-22в мультиколор 104,1,Бубльгум,24 190 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-425-22v-mul-tikolor-105068678/?c=750000000,"[] мультиколор:True, ","[]104:True, 110:True, 116:True, 122:True, 128:True, "
Комбинезон Ябольшой 263-1238-01 серый 86,1,Бубльгум,11 750 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/jabol-shoi-263-1238-01-babies-104655417/?c=750000000,"[] серый:True, ","[]80:False, 86:True, 92:False, "
Костюм Batik 3030 к-22 Снегурочка Дарина голубой,1,Бубльгум,19 010 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-3030-k-22-snegurochka-darina-goluboi-108246872/?c=750000000,[],[]
Футболка Let's GO 5279 серый 98,1,Бубльгум,2 780 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/let-s-go-5279-seryi-109093208/?c=750000000,"[] серый:True,  красный:True,  черный:True,  желтый:True,  зеленый:True,  оранжевый:True, ","[]98:True, 104:True, 110:True, 116:True, 98:True, 104:True, 110:True, 116:True, 122:True, 128:True, 134:True, 140:True, 146:True, 152:True, 158:True, 164:False, 98:True, 104:True, 110:True, 116:True, 122:True, 128:False, 134:False, 140:False, 146:False, 152:False, 158:False, 164:False, 98:True, 104:True, 110:True, 116:True, 122:True, 128:False, 134:False, 140:False, 146:False, 152:False, 158:False, 164:False, 98:True, 104:True, 110:True, 116:False, 122:True, 128:False, 134:False, 140:False, 146:False, 152:False, 158:False, 164:False, 98:True, 104:False, 110:True, 116:True, 122:True, 128:False, 134:False, 140:False, 146:False, 152:False, 158:False, 164:False, "
Комбинезон Batik 0018 синий 68,1,Бубльгум,4 120 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-0018-sinii-104655531/?c=750000000,"[] синий:True, ","[]62:True, 68:True, 74:True, 80:True, 86:True, "
Комбинезон Batik 455-22в розовый 74,1,Бубльгум,14 400 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-455-22v-rozovyi-104430718/?c=750000000,"[] розовый:True,  фиолетовый:True, ","[]74:True, 80:True, 86:True, 92:False, 74:True, 80:True, 86:False, 92:True, "
Конверт BABYGLORY K030 Babies 62,1,Бубльгум,11 790 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/babyglory-k030-babies-104655478/?c=750000000,"[] розовый:True,  голубой:True, ","[]62:True, 62:True, "
Комбинезон Batik 455-22в фиолетовый 74,1,Бубльгум,14 400 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-455-22v-fioletovyi-104430719/?c=750000000,"[] розовый:True,  фиолетовый:True, ","[]74:True, 80:True, 86:True, 92:False, 74:True, 80:True, 86:False, 92:True, "
Костюм Batik 3009 к-18 Дед Мороз красный,1,Бубльгум,34 560 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-3009-k-18-ded-moroz-krasnyi-108246777/?c=750000000,[],[]
Набор Ползунки бамбук E055006KNR62 мультиколор 62,1,Бубльгум,5 340 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/polzunki-bambuk-e055006knr62-mul-tikolor-62-104695839/?c=750000000,[],[]
Конверт BABYGLORY K030 Babies 62,1,Бубльгум,11 790 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/babyglory-k030-babies-104655474/?c=750000000,"[] розовый:True,  голубой:True, ","[]62:True, 62:True, "
